gene_id,gene_symbol,gene_name,chromosome,function,protein
GENE1246,GENE1246,GENE1246 Associated Gene,14,Metabolism,GENE1246 Protein
GENE1247,GENE1247,GENE1247 Associated Gene,15,Signal Transduction,GENE1247 Protein
GENE1248,GENE1248,GENE1248 Associated Gene,16,Apoptosis,GENE1248 Protein
GENE1249,GENE1249,GENE1249 Associated Gene,17,Cell Cycle Control,GENE1249 Protein
GENE1250,GENE1250,GENE1250 Associated Gene,18,Gene Expression,GENE1250 Protein
GENE1251,GENE1251,GENE1251 Associated Gene,19,DNA Repair,GENE1251 Protein
GENE1252,GENE1252,GENE1252 Associated Gene,20,Cell Signaling,GENE1252 Protein
GENE1253,GENE1253,GENE1253 Associated Gene,21,Tumor Suppression,GENE1253 Protein
GENE1254,GENE1254,GENE1254 Associated Gene,22,Immune Regulation,GENE1254 Protein
GENE1255,GENE1255,GENE1255 Associated Gene,1,Protein Synthesis,GENE1255 Protein
GENE1256,GENE1256,GENE1256 Associated Gene,2,Metabolism,GENE1256 Protein
GENE1257,GENE1257,GENE1257 Associated Gene,3,Signal Transduction,GENE1257 Protein
GENE1258,GENE1258,GENE1258 Associated Gene,4,Apoptosis,GENE1258 Protein
GENE1259,GENE1259,GENE1259 Associated Gene,5,Cell Cycle Control,GENE1259 Protein
GENE1260,GENE1260,GENE1260 Associated Gene,6,Gene Expression,GENE1260 Protein
GENE1261,GENE1261,GENE1261 Associated Gene,7,DNA Repair,GENE1261 Protein
GENE1262,GENE1262,GENE1262 Associated Gene,8,Cell Signaling,GENE1262 Protein
GENE1263,GENE1263,GENE1263 Associated Gene,9,Tumor Suppression,GENE1263 Protein
GENE1264,GENE1264,GENE1264 Associated Gene,10,Immune Regulation,GENE1264 Protein
GENE1265,GENE1265,GENE1265 Associated Gene,11,Protein Synthesis,GENE1265 Protein
GENE1266,GENE1266,GENE1266 Associated Gene,12,Metabolism,GENE1266 Protein
GENE1267,GENE1267,GENE1267 Associated Gene,13,Signal Transduction,GENE1267 Protein
GENE1268,GENE1268,GENE1268 Associated Gene,14,Apoptosis,GENE1268 Protein
GENE1269,GENE1269,GENE1269 Associated Gene,15,Cell Cycle Control,GENE1269 Protein
GENE1270,GENE1270,GENE1270 Associated Gene,16,Gene Expression,GENE1270 Protein
GENE1271,GENE1271,GENE1271 Associated Gene,17,DNA Repair,GENE1271 Protein
GENE1272,GENE1272,GENE1272 Associated Gene,18,Cell Signaling,GENE1272 Protein
GENE1273,GENE1273,GENE1273 Associated Gene,19,Tumor Suppression,GENE1273 Protein
GENE1274,GENE1274,GENE1274 Associated Gene,20,Immune Regulation,GENE1274 Protein
GENE1275,GENE1275,GENE1275 Associated Gene,21,Protein Synthesis,GENE1275 Protein
GENE1276,GENE1276,GENE1276 Associated Gene,22,Metabolism,GENE1276 Protein
GENE1277,GENE1277,GENE1277 Associated Gene,1,Signal Transduction,GENE1277 Protein
GENE1278,GENE1278,GENE1278 Associated Gene,2,Apoptosis,GENE1278 Protein
GENE1279,GENE1279,GENE1279 Associated Gene,3,Cell Cycle Control,GENE1279 Protein
GENE1280,GENE1280,GENE1280 Associated Gene,4,Gene Expression,GENE1280 Protein
GENE1281,GENE1281,GENE1281 Associated Gene,5,DNA Repair,GENE1281 Protein
GENE1282,GENE1282,GENE1282 Associated Gene,6,Cell Signaling,GENE1282 Protein
GENE1283,GENE1283,GENE1283 Associated Gene,7,Tumor Suppression,GENE1283 Protein
GENE1284,GENE1284,GENE1284 Associated Gene,8,Immune Regulation,GENE1284 Protein
GENE1285,GENE1285,GENE1285 Associated Gene,9,Protein Synthesis,GENE1285 Protein
GENE1286,GENE1286,GENE1286 Associated Gene,10,Metabolism,GENE1286 Protein
GENE1287,GENE1287,GENE1287 Associated Gene,11,Signal Transduction,GENE1287 Protein
GENE1288,GENE1288,GENE1288 Associated Gene,12,Apoptosis,GENE1288 Protein
GENE1289,GENE1289,GENE1289 Associated Gene,13,Cell Cycle Control,GENE1289 Protein
GENE1290,GENE1290,GENE1290 Associated Gene,14,Gene Expression,GENE1290 Protein
GENE1291,GENE1291,GENE1291 Associated Gene,15,DNA Repair,GENE1291 Protein
GENE1292,GENE1292,GENE1292 Associated Gene,16,Cell Signaling,GENE1292 Protein
GENE1293,GENE1293,GENE1293 Associated Gene,17,Tumor Suppression,GENE1293 Protein
GENE1294,GENE1294,GENE1294 Associated Gene,18,Immune Regulation,GENE1294 Protein
GENE1295,GENE1295,GENE1295 Associated Gene,19,Protein Synthesis,GENE1295 Protein
GENE1296,GENE1296,GENE1296 Associated Gene,20,Metabolism,GENE1296 Protein
GENE1297,GENE1297,GENE1297 Associated Gene,21,Signal Transduction,GENE1297 Protein
GENE1298,GENE1298,GENE1298 Associated Gene,22,Apoptosis,GENE1298 Protein
GENE1299,GENE1299,GENE1299 Associated Gene,1,Cell Cycle Control,GENE1299 Protein
GENE1300,GENE1300,GENE1300 Associated Gene,2,Gene Expression,GENE1300 Protein
GENE1301,GENE1301,GENE1301 Associated Gene,3,DNA Repair,GENE1301 Protein
GENE1302,GENE1302,GENE1302 Associated Gene,4,Cell Signaling,GENE1302 Protein
GENE1303,GENE1303,GENE1303 Associated Gene,5,Tumor Suppression,GENE1303 Protein
GENE1304,GENE1304,GENE1304 Associated Gene,6,Immune Regulation,GENE1304 Protein
GENE1305,GENE1305,GENE1305 Associated Gene,7,Protein Synthesis,GENE1305 Protein
GENE1306,GENE1306,GENE1306 Associated Gene,8,Metabolism,GENE1306 Protein
GENE1307,GENE1307,GENE1307 Associated Gene,9,Signal Transduction,GENE1307 Protein
GENE1308,GENE1308,GENE1308 Associated Gene,10,Apoptosis,GENE1308 Protein
GENE1309,GENE1309,GENE1309 Associated Gene,11,Cell Cycle Control,GENE1309 Protein
GENE1310,GENE1310,GENE1310 Associated Gene,12,Gene Expression,GENE1310 Protein
GENE1311,GENE1311,GENE1311 Associated Gene,13,DNA Repair,GENE1311 Protein
GENE1312,GENE1312,GENE1312 Associated Gene,14,Cell Signaling,GENE1312 Protein
GENE1313,GENE1313,GENE1313 Associated Gene,15,Tumor Suppression,GENE1313 Protein
GENE1314,GENE1314,GENE1314 Associated Gene,16,Immune Regulation,GENE1314 Protein
GENE1315,GENE1315,GENE1315 Associated Gene,17,Protein Synthesis,GENE1315 Protein
GENE1316,GENE1316,GENE1316 Associated Gene,18,Metabolism,GENE1316 Protein
GENE1317,GENE1317,GENE1317 Associated Gene,19,Signal Transduction,GENE1317 Protein
GENE1318,GENE1318,GENE1318 Associated Gene,20,Apoptosis,GENE1318 Protein
GENE1319,GENE1319,GENE1319 Associated Gene,21,Cell Cycle Control,GENE1319 Protein
GENE1320,GENE1320,GENE1320 Associated Gene,22,Gene Expression,GENE1320 Protein
GENE1321,GENE1321,GENE1321 Associated Gene,1,DNA Repair,GENE1321 Protein
GENE1322,GENE1322,GENE1322 Associated Gene,2,Cell Signaling,GENE1322 Protein
GENE1323,GENE1323,GENE1323 Associated Gene,3,Tumor Suppression,GENE1323 Protein
GENE1324,GENE1324,GENE1324 Associated Gene,4,Immune Regulation,GENE1324 Protein
GENE1325,GENE1325,GENE1325 Associated Gene,5,Protein Synthesis,GENE1325 Protein
GENE1326,GENE1326,GENE1326 Associated Gene,6,Metabolism,GENE1326 Protein
GENE1327,GENE1327,GENE1327 Associated Gene,7,Signal Transduction,GENE1327 Protein
GENE1328,GENE1328,GENE1328 Associated Gene,8,Apoptosis,GENE1328 Protein
GENE1329,GENE1329,GENE1329 Associated Gene,9,Cell Cycle Control,GENE1329 Protein
GENE1330,GENE1330,GENE1330 Associated Gene,10,Gene Expression,GENE1330 Protein
GENE1331,GENE1331,GENE1331 Associated Gene,11,DNA Repair,GENE1331 Protein
GENE1332,GENE1332,GENE1332 Associated Gene,12,Cell Signaling,GENE1332 Protein
GENE1333,GENE1333,GENE1333 Associated Gene,13,Tumor Suppression,GENE1333 Protein
GENE1334,GENE1334,GENE1334 Associated Gene,14,Immune Regulation,GENE1334 Protein
GENE1335,GENE1335,GENE1335 Associated Gene,15,Protein Synthesis,GENE1335 Protein
GENE1336,GENE1336,GENE1336 Associated Gene,16,Metabolism,GENE1336 Protein
GENE1337,GENE1337,GENE1337 Associated Gene,17,Signal Transduction,GENE1337 Protein
GENE1338,GENE1338,GENE1338 Associated Gene,18,Apoptosis,GENE1338 Protein
GENE1339,GENE1339,GENE1339 Associated Gene,19,Cell Cycle Control,GENE1339 Protein
GENE1340,GENE1340,GENE1340 Associated Gene,20,Gene Expression,GENE1340 Protein
GENE1341,GENE1341,GENE1341 Associated Gene,21,DNA Repair,GENE1341 Protein
GENE1342,GENE1342,GENE1342 Associated Gene,22,Cell Signaling,GENE1342 Protein
GENE1343,GENE1343,GENE1343 Associated Gene,1,Tumor Suppression,GENE1343 Protein
GENE1344,GENE1344,GENE1344 Associated Gene,2,Immune Regulation,GENE1344 Protein
GENE1345,GENE1345,GENE1345 Associated Gene,3,Protein Synthesis,GENE1345 Protein
GENE1346,GENE1346,GENE1346 Associated Gene,4,Metabolism,GENE1346 Protein
GENE1347,GENE1347,GENE1347 Associated Gene,5,Signal Transduction,GENE1347 Protein
GENE1348,GENE1348,GENE1348 Associated Gene,6,Apoptosis,GENE1348 Protein
GENE1349,GENE1349,GENE1349 Associated Gene,7,Cell Cycle Control,GENE1349 Protein
GENE1350,GENE1350,GENE1350 Associated Gene,8,Gene Expression,GENE1350 Protein
GENE1351,GENE1351,GENE1351 Associated Gene,9,DNA Repair,GENE1351 Protein
GENE1352,GENE1352,GENE1352 Associated Gene,10,Cell Signaling,GENE1352 Protein
GENE1353,GENE1353,GENE1353 Associated Gene,11,Tumor Suppression,GENE1353 Protein
GENE1354,GENE1354,GENE1354 Associated Gene,12,Immune Regulation,GENE1354 Protein
GENE1355,GENE1355,GENE1355 Associated Gene,13,Protein Synthesis,GENE1355 Protein
GENE1356,GENE1356,GENE1356 Associated Gene,14,Metabolism,GENE1356 Protein
GENE1357,GENE1357,GENE1357 Associated Gene,15,Signal Transduction,GENE1357 Protein
GENE1358,GENE1358,GENE1358 Associated Gene,16,Apoptosis,GENE1358 Protein
GENE1359,GENE1359,GENE1359 Associated Gene,17,Cell Cycle Control,GENE1359 Protein
GENE1360,GENE1360,GENE1360 Associated Gene,18,Gene Expression,GENE1360 Protein
GENE1361,GENE1361,GENE1361 Associated Gene,19,DNA Repair,GENE1361 Protein
GENE1362,GENE1362,GENE1362 Associated Gene,20,Cell Signaling,GENE1362 Protein
GENE1363,GENE1363,GENE1363 Associated Gene,21,Tumor Suppression,GENE1363 Protein
GENE1364,GENE1364,GENE1364 Associated Gene,22,Immune Regulation,GENE1364 Protein
GENE1365,GENE1365,GENE1365 Associated Gene,1,Protein Synthesis,GENE1365 Protein
GENE1366,GENE1366,GENE1366 Associated Gene,2,Metabolism,GENE1366 Protein
GENE1367,GENE1367,GENE1367 Associated Gene,3,Signal Transduction,GENE1367 Protein
GENE1368,GENE1368,GENE1368 Associated Gene,4,Apoptosis,GENE1368 Protein
GENE1369,GENE1369,GENE1369 Associated Gene,5,Cell Cycle Control,GENE1369 Protein
GENE1370,GENE1370,GENE1370 Associated Gene,6,Gene Expression,GENE1370 Protein
GENE1371,GENE1371,GENE1371 Associated Gene,7,DNA Repair,GENE1371 Protein
GENE1372,GENE1372,GENE1372 Associated Gene,8,Cell Signaling,GENE1372 Protein
GENE1373,GENE1373,GENE1373 Associated Gene,9,Tumor Suppression,GENE1373 Protein
GENE1374,GENE1374,GENE1374 Associated Gene,10,Immune Regulation,GENE1374 Protein
GENE1375,GENE1375,GENE1375 Associated Gene,11,Protein Synthesis,GENE1375 Protein
GENE1376,GENE1376,GENE1376 Associated Gene,12,Metabolism,GENE1376 Protein
GENE1377,GENE1377,GENE1377 Associated Gene,13,Signal Transduction,GENE1377 Protein
GENE1378,GENE1378,GENE1378 Associated Gene,14,Apoptosis,GENE1378 Protein
GENE1379,GENE1379,GENE1379 Associated Gene,15,Cell Cycle Control,GENE1379 Protein
GENE1380,GENE1380,GENE1380 Associated Gene,16,Gene Expression,GENE1380 Protein
GENE1381,GENE1381,GENE1381 Associated Gene,17,DNA Repair,GENE1381 Protein
GENE1382,GENE1382,GENE1382 Associated Gene,18,Cell Signaling,GENE1382 Protein
GENE1383,GENE1383,GENE1383 Associated Gene,19,Tumor Suppression,GENE1383 Protein
GENE1384,GENE1384,GENE1384 Associated Gene,20,Immune Regulation,GENE1384 Protein
GENE1385,GENE1385,GENE1385 Associated Gene,21,Protein Synthesis,GENE1385 Protein
GENE1386,GENE1386,GENE1386 Associated Gene,22,Metabolism,GENE1386 Protein
GENE1387,GENE1387,GENE1387 Associated Gene,1,Signal Transduction,GENE1387 Protein
GENE1388,GENE1388,GENE1388 Associated Gene,2,Apoptosis,GENE1388 Protein
GENE1389,GENE1389,GENE1389 Associated Gene,3,Cell Cycle Control,GENE1389 Protein
GENE1390,GENE1390,GENE1390 Associated Gene,4,Gene Expression,GENE1390 Protein
GENE1391,GENE1391,GENE1391 Associated Gene,5,DNA Repair,GENE1391 Protein
GENE1392,GENE1392,GENE1392 Associated Gene,6,Cell Signaling,GENE1392 Protein
GENE1393,GENE1393,GENE1393 Associated Gene,7,Tumor Suppression,GENE1393 Protein
GENE1394,GENE1394,GENE1394 Associated Gene,8,Immune Regulation,GENE1394 Protein
GENE1395,GENE1395,GENE1395 Associated Gene,9,Protein Synthesis,GENE1395 Protein
GENE1396,GENE1396,GENE1396 Associated Gene,10,Metabolism,GENE1396 Protein
GENE1397,GENE1397,GENE1397 Associated Gene,11,Signal Transduction,GENE1397 Protein
GENE1398,GENE1398,GENE1398 Associated Gene,12,Apoptosis,GENE1398 Protein
GENE1399,GENE1399,GENE1399 Associated Gene,13,Cell Cycle Control,GENE1399 Protein
GENE1400,GENE1400,GENE1400 Associated Gene,14,Gene Expression,GENE1400 Protein
GENE1401,GENE1401,GENE1401 Associated Gene,15,DNA Repair,GENE1401 Protein
GENE1402,GENE1402,GENE1402 Associated Gene,16,Cell Signaling,GENE1402 Protein
GENE1403,GENE1403,GENE1403 Associated Gene,17,Tumor Suppression,GENE1403 Protein
GENE1404,GENE1404,GENE1404 Associated Gene,18,Immune Regulation,GENE1404 Protein
GENE1405,GENE1405,GENE1405 Associated Gene,19,Protein Synthesis,GENE1405 Protein
GENE1406,GENE1406,GENE1406 Associated Gene,20,Metabolism,GENE1406 Protein
GENE1407,GENE1407,GENE1407 Associated Gene,21,Signal Transduction,GENE1407 Protein
GENE1408,GENE1408,GENE1408 Associated Gene,22,Apoptosis,GENE1408 Protein
GENE1409,GENE1409,GENE1409 Associated Gene,1,Cell Cycle Control,GENE1409 Protein
GENE1410,GENE1410,GENE1410 Associated Gene,2,Gene Expression,GENE1410 Protein
GENE1411,GENE1411,GENE1411 Associated Gene,3,DNA Repair,GENE1411 Protein
GENE1412,GENE1412,GENE1412 Associated Gene,4,Cell Signaling,GENE1412 Protein
GENE1413,GENE1413,GENE1413 Associated Gene,5,Tumor Suppression,GENE1413 Protein
GENE1414,GENE1414,GENE1414 Associated Gene,6,Immune Regulation,GENE1414 Protein
GENE1415,GENE1415,GENE1415 Associated Gene,7,Protein Synthesis,GENE1415 Protein
GENE1416,GENE1416,GENE1416 Associated Gene,8,Metabolism,GENE1416 Protein
GENE1417,GENE1417,GENE1417 Associated Gene,9,Signal Transduction,GENE1417 Protein
GENE1418,GENE1418,GENE1418 Associated Gene,10,Apoptosis,GENE1418 Protein
GENE1419,GENE1419,GENE1419 Associated Gene,11,Cell Cycle Control,GENE1419 Protein
GENE1420,GENE1420,GENE1420 Associated Gene,12,Gene Expression,GENE1420 Protein
GENE1421,GENE1421,GENE1421 Associated Gene,13,DNA Repair,GENE1421 Protein
GENE1422,GENE1422,GENE1422 Associated Gene,14,Cell Signaling,GENE1422 Protein
GENE1423,GENE1423,GENE1423 Associated Gene,15,Tumor Suppression,GENE1423 Protein
GENE1424,GENE1424,GENE1424 Associated Gene,16,Immune Regulation,GENE1424 Protein
GENE1425,GENE1425,GENE1425 Associated Gene,17,Protein Synthesis,GENE1425 Protein
GENE1426,GENE1426,GENE1426 Associated Gene,18,Metabolism,GENE1426 Protein
GENE1427,GENE1427,GENE1427 Associated Gene,19,Signal Transduction,GENE1427 Protein
GENE1428,GENE1428,GENE1428 Associated Gene,20,Apoptosis,GENE1428 Protein
GENE1429,GENE1429,GENE1429 Associated Gene,21,Cell Cycle Control,GENE1429 Protein
GENE1430,GENE1430,GENE1430 Associated Gene,22,Gene Expression,GENE1430 Protein
GENE1431,GENE1431,GENE1431 Associated Gene,1,DNA Repair,GENE1431 Protein
GENE1432,GENE1432,GENE1432 Associated Gene,2,Cell Signaling,GENE1432 Protein
GENE1433,GENE1433,GENE1433 Associated Gene,3,Tumor Suppression,GENE1433 Protein
GENE1434,GENE1434,GENE1434 Associated Gene,4,Immune Regulation,GENE1434 Protein
GENE1435,GENE1435,GENE1435 Associated Gene,5,Protein Synthesis,GENE1435 Protein
GENE1436,GENE1436,GENE1436 Associated Gene,6,Metabolism,GENE1436 Protein
GENE1437,GENE1437,GENE1437 Associated Gene,7,Signal Transduction,GENE1437 Protein
GENE1438,GENE1438,GENE1438 Associated Gene,8,Apoptosis,GENE1438 Protein
GENE1439,GENE1439,GENE1439 Associated Gene,9,Cell Cycle Control,GENE1439 Protein
GENE1440,GENE1440,GENE1440 Associated Gene,10,Gene Expression,GENE1440 Protein
GENE1441,GENE1441,GENE1441 Associated Gene,11,DNA Repair,GENE1441 Protein
GENE1442,GENE1442,GENE1442 Associated Gene,12,Cell Signaling,GENE1442 Protein
GENE1443,GENE1443,GENE1443 Associated Gene,13,Tumor Suppression,GENE1443 Protein
GENE1444,GENE1444,GENE1444 Associated Gene,14,Immune Regulation,GENE1444 Protein
GENE1445,GENE1445,GENE1445 Associated Gene,15,Protein Synthesis,GENE1445 Protein
GENE1446,GENE1446,GENE1446 Associated Gene,16,Metabolism,GENE1446 Protein
GENE1447,GENE1447,GENE1447 Associated Gene,17,Signal Transduction,GENE1447 Protein
GENE1448,GENE1448,GENE1448 Associated Gene,18,Apoptosis,GENE1448 Protein
GENE1449,GENE1449,GENE1449 Associated Gene,19,Cell Cycle Control,GENE1449 Protein
GENE1450,GENE1450,GENE1450 Associated Gene,20,Gene Expression,GENE1450 Protein
GENE1451,GENE1451,GENE1451 Associated Gene,21,DNA Repair,GENE1451 Protein
GENE1452,GENE1452,GENE1452 Associated Gene,22,Cell Signaling,GENE1452 Protein
GENE1453,GENE1453,GENE1453 Associated Gene,1,Tumor Suppression,GENE1453 Protein
GENE1454,GENE1454,GENE1454 Associated Gene,2,Immune Regulation,GENE1454 Protein
GENE1455,GENE1455,GENE1455 Associated Gene,3,Protein Synthesis,GENE1455 Protein
GENE1456,GENE1456,GENE1456 Associated Gene,4,Metabolism,GENE1456 Protein
GENE1457,GENE1457,GENE1457 Associated Gene,5,Signal Transduction,GENE1457 Protein
GENE1458,GENE1458,GENE1458 Associated Gene,6,Apoptosis,GENE1458 Protein
GENE1459,GENE1459,GENE1459 Associated Gene,7,Cell Cycle Control,GENE1459 Protein
GENE1460,GENE1460,GENE1460 Associated Gene,8,Gene Expression,GENE1460 Protein
GENE1461,GENE1461,GENE1461 Associated Gene,9,DNA Repair,GENE1461 Protein
GENE1462,GENE1462,GENE1462 Associated Gene,10,Cell Signaling,GENE1462 Protein
GENE1463,GENE1463,GENE1463 Associated Gene,11,Tumor Suppression,GENE1463 Protein
GENE1464,GENE1464,GENE1464 Associated Gene,12,Immune Regulation,GENE1464 Protein
GENE1465,GENE1465,GENE1465 Associated Gene,13,Protein Synthesis,GENE1465 Protein
GENE1466,GENE1466,GENE1466 Associated Gene,14,Metabolism,GENE1466 Protein
GENE1467,GENE1467,GENE1467 Associated Gene,15,Signal Transduction,GENE1467 Protein
GENE1468,GENE1468,GENE1468 Associated Gene,16,Apoptosis,GENE1468 Protein
GENE1469,GENE1469,GENE1469 Associated Gene,17,Cell Cycle Control,GENE1469 Protein
GENE1470,GENE1470,GENE1470 Associated Gene,18,Gene Expression,GENE1470 Protein
GENE1471,GENE1471,GENE1471 Associated Gene,19,DNA Repair,GENE1471 Protein
GENE1472,GENE1472,GENE1472 Associated Gene,20,Cell Signaling,GENE1472 Protein
GENE1473,GENE1473,GENE1473 Associated Gene,21,Tumor Suppression,GENE1473 Protein
GENE1474,GENE1474,GENE1474 Associated Gene,22,Immune Regulation,GENE1474 Protein
GENE1475,GENE1475,GENE1475 Associated Gene,1,Protein Synthesis,GENE1475 Protein
GENE1476,GENE1476,GENE1476 Associated Gene,2,Metabolism,GENE1476 Protein
GENE1477,GENE1477,GENE1477 Associated Gene,3,Signal Transduction,GENE1477 Protein
GENE1478,GENE1478,GENE1478 Associated Gene,4,Apoptosis,GENE1478 Protein
GENE1479,GENE1479,GENE1479 Associated Gene,5,Cell Cycle Control,GENE1479 Protein
GENE1480,GENE1480,GENE1480 Associated Gene,6,Gene Expression,GENE1480 Protein
GENE1481,GENE1481,GENE1481 Associated Gene,7,DNA Repair,GENE1481 Protein
GENE1482,GENE1482,GENE1482 Associated Gene,8,Cell Signaling,GENE1482 Protein
GENE1483,GENE1483,GENE1483 Associated Gene,9,Tumor Suppression,GENE1483 Protein
GENE1484,GENE1484,GENE1484 Associated Gene,10,Immune Regulation,GENE1484 Protein
GENE1485,GENE1485,GENE1485 Associated Gene,11,Protein Synthesis,GENE1485 Protein
GENE1486,GENE1486,GENE1486 Associated Gene,12,Metabolism,GENE1486 Protein
GENE1487,GENE1487,GENE1487 Associated Gene,13,Signal Transduction,GENE1487 Protein
GENE1488,GENE1488,GENE1488 Associated Gene,14,Apoptosis,GENE1488 Protein
GENE1489,GENE1489,GENE1489 Associated Gene,15,Cell Cycle Control,GENE1489 Protein
GENE1490,GENE1490,GENE1490 Associated Gene,16,Gene Expression,GENE1490 Protein
GENE1491,GENE1491,GENE1491 Associated Gene,17,DNA Repair,GENE1491 Protein
GENE1492,GENE1492,GENE1492 Associated Gene,18,Cell Signaling,GENE1492 Protein
GENE1493,GENE1493,GENE1493 Associated Gene,19,Tumor Suppression,GENE1493 Protein
GENE1494,GENE1494,GENE1494 Associated Gene,20,Immune Regulation,GENE1494 Protein
GENE1495,GENE1495,GENE1495 Associated Gene,21,Protein Synthesis,GENE1495 Protein
GENE1496,GENE1496,GENE1496 Associated Gene,22,Metabolism,GENE1496 Protein
GENE1497,GENE1497,GENE1497 Associated Gene,1,Signal Transduction,GENE1497 Protein
GENE1498,GENE1498,GENE1498 Associated Gene,2,Apoptosis,GENE1498 Protein
GENE1499,GENE1499,GENE1499 Associated Gene,3,Cell Cycle Control,GENE1499 Protein
GENE1500,GENE1500,GENE1500 Associated Gene,4,Gene Expression,GENE1500 Protein
